exp_name,return_code,status,duration_sec,acc,auc,eer,best_threshold,exp_dir
dnn_bn_dropout__fbank,0,success,1892.8778,0.9692515971976312,0.9913297632347299,0.03731579394846621,0.3999999463558197,/home/lihaochen/Work_Dir/AI2304/result/task2_batch_20260429_093055/dnn_bn_dropout__fbank
dnn_bn_dropout__fbank_delta,0,success,3546.9489,0.9804453593879696,0.9960496785713089,0.0260135949745704,0.3999999463558197,/home/lihaochen/Work_Dir/AI2304/result/task2_batch_20260429_093055/dnn_bn_dropout__fbank_delta
dnn_bn_dropout__fbank_delta_deltadelta,0,success,3027.2822,0.9810932335295933,0.9963391148738512,0.02475082616579625,0.4199999272823334,/home/lihaochen/Work_Dir/AI2304/result/task2_batch_20260429_093055/dnn_bn_dropout__fbank_delta_deltadelta
dnn_bn_dropout__mfcc,0,success,3155.9491,0.9660611871012699,0.9895135627189895,0.039735403939671426,0.3899999260902405,/home/lihaochen/Work_Dir/AI2304/result/task2_batch_20260429_093055/dnn_bn_dropout__mfcc
dnn_bn_dropout__mfcc_delta,0,success,2315.0003,0.979379612118093,0.9955030474088413,0.02665055451718606,0.3899999260902405,/home/lihaochen/Work_Dir/AI2304/result/task2_batch_20260429_093055/dnn_bn_dropout__mfcc_delta
dnn_mlp__fbank,0,success,3027.1557,0.969325607424706,0.9914027927960153,0.037261436350737524,0.3999999463558197,/home/lihaochen/Work_Dir/AI2304/result/task2_batch_20260429_093055/dnn_mlp__fbank
dnn_mlp__fbank_delta,0,success,3588.9966,0.9806059046497779,0.996088892581845,0.02590348599455588,0.3899999260902405,/home/lihaochen/Work_Dir/AI2304/result/task2_batch_20260429_093055/dnn_mlp__fbank_delta
dnn_mlp__fbank_delta_deltadelta,0,success,4260.3749,0.9814359578118933,0.99638348370537,0.024697862352624705,0.3999999463558197,/home/lihaochen/Work_Dir/AI2304/result/task2_batch_20260429_093055/dnn_mlp__fbank_delta_deltadelta
dnn_mlp__mfcc,0,success,3353.2164,0.9660088106328786,0.9893531672047124,0.04009221278630077,0.3999999463558197,/home/lihaochen/Work_Dir/AI2304/result/task2_batch_20260429_093055/dnn_mlp__mfcc
dnn_mlp__mfcc_delta,0,success,3736.8961,0.979224759950675,0.9952617536043483,0.027491006605145016,0.3999999463558197,/home/lihaochen/Work_Dir/AI2304/result/task2_batch_20260429_093055/dnn_mlp__mfcc_delta
gmm__fbank,0,success,401.3998,0.9310725675969562,0.9607715011425441,0.07345244616158701,0.10000000149011612,/home/lihaochen/Work_Dir/AI2304/result/task2_batch_20260429_093055/gmm__fbank
gmm__fbank_delta,0,success,1572.3379,0.945333769044824,0.9709629586664039,0.04982361656429319,0.10000000149011612,/home/lihaochen/Work_Dir/AI2304/result/task2_batch_20260429_093055/gmm__fbank_delta
gmm__fbank_delta_deltadelta,0,success,1794.6286,0.9561324304844709,0.9699253542028967,0.04657749233070047,0.10000000149011612,/home/lihaochen/Work_Dir/AI2304/result/task2_batch_20260429_093055/gmm__fbank_delta_deltadelta
gmm__mfcc,0,success,1201.0241,0.9331494084305619,0.969179373919433,0.0718412312135264,0.10000000149011612,/home/lihaochen/Work_Dir/AI2304/result/task2_batch_20260429_093055/gmm__mfcc
gmm__mfcc_delta,0,success,1392.4355,0.9607142328498378,0.979138366801848,0.04939572470524941,0.10000000149011612,/home/lihaochen/Work_Dir/AI2304/result/task2_batch_20260429_093055/gmm__mfcc_delta
